,user_input,reference_contexts,reference,synthesizer_name
10,How is GST incorporated into the dollar values described in the policy?,"[""Appointing someone to represent you\nIf you want to appoint someone to represent you, then you need to tell us and we\nneed to agree that we will deal with them on your behalf. For example, you ask\nsomeone to manage your policy or a claim. For more details about who you can\nappoint to manage your claim, such as a repairer, see page 62.\nWe will not unreasonably withhold our consent to an appointment. However,\nwe may have a concern with a party that may present a conflict of interest. For\nexample, someone who supplies goods or services for your claim.\nGoverning law and GST\nGoverning law\nThis contract is governed by the law of the Australian State or Territory where you\nkeep your vehicle.\nGST\nAll dollar values described in your policy include GST, unless we say they don't.\n13""]","All dollar values described in your policy include GST, unless we say they don't.",single_hop_specifc_query_synthesizer
11,What Third Party Property Damage Insurance cover?,"['2\nComprehensive\nPlus Insurance\nComprehensive Plus Insurance is the top Motor Insurance\ncover you can have for your vehicle.\nTo insure your motorcycle, see Comprehensive Insurance on\npages 26 – 39 and Third Party Property Damage Insurance\non pages 48 – 51.\nThe table on the right summarises your cover.\nFull details about your cover are set out in this section.\nIn this section, we outline what you’re covered for under\nComprehensive Plus Insurance and any specific limits, exclusions\nand conditions that apply to your cover.\nGeneral exclusions also apply. If you don’t meet your\nresponsibilities you may put your claim or cover at risk –\nsee Section 7.\nHow we settle a claim is set out in Section 8.\n14']",Third Party Property Damage Insurance details can be found on pages 48 – 51.,single_hop_specifc_query_synthesizer
12,What services does NRMA provide for vehicle repairs?,"['2\nComprehensive\nPlus Insurance\nYour insurance cover\nLoss or damage to your vehicle\nLoss or damage to your vehicle Up to the agreed value 16\nAny NRMA Partner Repairer We will arrange for an NRMA Partner Repairer to fix 16\nyour vehicle\nOther benefits\nBaby capsules and child seats Up to $500 each 17\nEmergency repairs Up to $800 17\nEmergency transport and Up to $1,500 18\naccommodation\nHire car after an incident Up to $100 a day for a hire car and up to $3,000 for 18\nany hire car excess and bond\nKeys, locks and barrels Up to $1,000 19\nNew replacement vehicle If we agree to pay your claim as a total loss, you 19\nmay choose to replace your vehicle with a new one\nPersonal items Up to $1,000 for certain items 20\nStorage costs The reasonable costs to store your vehicle 21\nTaxi fares Up to $250 21\nTemporary cover 14 days cover when you change vehicles 22\nTools of trade Up to $1,500 for certain items 22\nTowing The reasonable cost to tow your vehicle 23\nTrailer or caravan damage Up to $1,000 23']",NRMA arranges for an NRMA Partner Repairer to fix your vehicle.,single_hop_specifc_query_synthesizer
13,"Could you please explain the benefits of using an NRMA Partner Repairer for motor insurance policyholders, and what options are available if I prefer to choose my own repairer?","['preference you may have.\nFor more details about how we settle your claim, see Section 8.\nAny NRMA Partner Repairer\nYour policy automatically includes access to our extensive partner repairer\nnetwork. We have partnered with trusted businesses to deliver quality, safe repairs\nand have you back on the road as soon as possible.\nHowever, you may choose your own repairer to fix your vehicle if you have added\nthe ‘Any Repairer’ option – see page 25.\n16']","NRMA Partner Repairers are part of an extensive network of trusted businesses that deliver quality and safe repairs, ensuring policyholders are back on the road as soon as possible. If you prefer to choose your own repairer, you can do so by adding the 'Any Repairer' option to your policy.",single_hop_specifc_query_synthesizer
14,What is the requirement regarding the Police when your vehicle keys are stolen during the policy period?,"[""If someone steals the keys to your vehicle during the policy period, and there\nis no other damage to your vehicle.\nWe pay this benefit on top of any excess that applies. For example, if your excess\nis $695 and the cost to replace your locks is $1,500, then we pay $805.\nCovered\n• up to $1,000 in total to replace or recode your vehicle's keys, locks or barrels.\nConditions\n• you must report the theft of your keys to the Police.\nNew replacement vehicle\nIf we agree to pay your claim as a total loss, then you may choose to replace your\nvehicle with a new one if all of these apply:\n• you bought your vehicle as a new or demonstrator vehicle\n• the incident we cover happens within 2 years from when your vehicle was first\nregistered\n• your vehicle’s tare weight is less than 2.5 tonnes.\n19""]",You must report the theft of your keys to the Police.,single_hop_specifc_query_synthesizer
15,What Australia got to do with replacing vehicle?,"['Covered\n• to replace your vehicle with a new one that has the same make, model, engine\nsize, equipment level and paint type if it’s available in Australia\n• to replace any of the following that apply to your vehicle:\n– modifications\n– options\n– accessories\n• the cost for 12 months registration and CTP insurance for the new vehicle.\nConditions\n• any credit provider noted on your current Certificate of Insurance must agree we\ncan replace your vehicle\n• the new vehicle must be currently available in Australia\n• you need to give us the refund you get for your unused registration and any CTP\ninsurance premium.\nYour policy ends when we replace your vehicle with a new one. However, you\ncan ask us to cover your replacement vehicle:\nCall Visit Visit\n132 132 nrma.com.au a local branch\nPersonal items\nIf an incident we cover causes loss or damage to your vehicle and the personal\nitems in your vehicle.\nWe pay this benefit on top of your agreed value.\nCovered We cover your']","The replacement vehicle must be currently available in Australia, and the policy covers replacing your vehicle with a new one of the same make, model, engine size, equipment level, and paint type if it is available in Australia.",single_hop_specifc_query_synthesizer
16,Wht is GST?,"['trade in your vehicle.\nTo make a claim under this benefit:\n• you must have told us you use your vehicle for business purposes and it’s\nshown on your current Certificate of Insurance\n• you must be registered for GST and entitled to claim an input tax credit.\nYour tools of trade include materials or equipment that you use in your current\nbusiness, trade or profession. For example, we cover your electric drill if you’re an\nelectrician or your training equipment if you’re a personal trainer. But we don’t\ncover those items if you are a retired electrician or a retired personal trainer.\nWe pay this benefit on top of your agreed value.\nCovered\n• up to $1,500 in total to repair or replace your tools of trade. Your tools of\ntrade include\nNot covered materials or\nequipment\n• mobile phones\nthat you use\n• cash in your current\n• standard equipment, modifications, options or accessories that are attached to business, trade or\nyour vehicle. profession\n22']",GST refers to the requirement that you must be registered for GST and entitled to claim an input tax credit to make a claim under the specified benefit.,single_hop_specifc_query_synthesizer
17,Wht is NRMA in insuranc policys?,"['Options you can add\n2\nYou can add the ‘Any Repairer’ option to your policy for an extra premium. If you\nhave added this option, it will be shown on your current Certificate of Insurance Comprehensive\nand applies during the policy period. Plus Insurance\nAny Repairer\nIf an incident we cover causes loss or damage to your vehicle, we will arrange\nfor an NRMA Partner Repairer to fix your vehicle – see page 72.\nHowever, if you have added this option, you may use any licensed repairer of\nyour choice, which may be an NRMA Partner Repairer – see page 72.\nYour choice of repairer must have all the necessary equipment, skills,\ncapabilities, licences and authorisations required by law, to complete the\nrepairs to your vehicle.\n25']",NRMA refers to a Partner Repairer that can fix your vehicle if an incident covered by your policy causes loss or damage.,single_hop_specifc_query_synthesizer
18,Wht are the detales of the Motor Insurence coverege and any exlusions or condishuns that apply?,"[""3\nComprehensive\nInsurance\nComprehensive Insurance is the standard Motor\nInsurance cover you can have for your vehicle. It's also\navailable for motorcycles.\nThe table on the right summarises your cover. Full\ndetails about your cover are set out in this section.\nIn this section, we outline what you’re covered for under\nComprehensive Insurance and any specific limits, exclusions and\nconditions that apply to your cover.\nGeneral exclusions also apply. If you don’t meet your\nresponsibilities you may put your claim or cover at\nrisk – see Section 7.\nHow we settle a claim is set out in Section 8.\n26""]","Comprehensive Insurance is the standard Motor Insurance cover you can have for your vehicle, and it's also available for motorcycles. The section outlines what you’re covered for under Comprehensive Insurance and any specific limits, exclusions, and conditions that apply to your cover. General exclusions also apply, and if you don’t meet your responsibilities, you may put your claim or cover at risk.",single_hop_specifc_query_synthesizer
19,What services does an NRMA Partner Repairer provide for vehicle damage?,"['3\nYour insurance cover\nLoss or damage to your vehicle\nLoss or damage to your vehicle Up to the agreed value or market value 28\nAny NRMA Partner Repairer We will arrange for an NRMA Partner Repairer to fix your vehicle 28\nOther benefits\nBaby capsules and child seats Up to $500 each 29\nEmergency repairs Up to $800 29\nEmergency transport Up to $1,000 30\nand accommodation\nHire car after a not at fault Provide you with a hire car until your vehicle is repaired or is a 31\ncollision or crash total loss and up to $2,000 for any hire car excess and bond\nHire car after theft or Up to $75 a day for a hire car for up to 21 days 32\nattempted theft\nKeys, locks and barrels Up to $1,000 33\nNew replacement vehicle If we agree to pay your claim as a total loss, you may choose 33\nto replace your vehicle with a new one\nPersonal items For all vehicles except motorcycles, up to $500 for certain 34\nitems. If you have a motorcycle, up to $2,000 for your\nprotective clothing']",An NRMA Partner Repairer will arrange to fix your vehicle in the event of loss or damage.,single_hop_specifc_query_synthesizer
